area,treatment,thrips,beetles
1,metarhizium,10,2
1,metarhizium,5,2
1,metarhizium,7,9
1,metarhizium,7,1
1,metarhizium,13,6
1,metarhizium,5,1
1,beauveria,5,0
1,beauveria,2,1
1,beauveria,15,7
1,beauveria,8,1
1,beauveria,10,7
1,beauveria,1,0
1,control,14,2
1,control,4,3
1,control,19,11
1,control,2,2
1,control,13,9
1,control,6,1
2,metarhizium,11,9
2,metarhizium,,0
2,metarhizium,11,2
2,metarhizium,4,0
2,metarhizium,3,2
2,metarhizium,4,5
2,beauveria,6,8
2,beauveria,20,1
2,beauveria,5,0
2,beauveria,8,1
2,beauveria,0,0
2,beauveria,7,4
2,control,22,0
2,control,2,4
2,control,5,0
2,control,10,0
2,control,3,2
2,control,4,4
3,metarhizium,15,1
3,metarhizium,,
3,metarhizium,32,0
3,metarhizium,9,5
3,beauveria,5,1
3,beauveria,31,2
3,beauveria,14,0
3,beauveria,28,0
3,control,5,9
3,control,47,6
3,control,29,0
3,control,20,9