Plot,Block,Preceding_crop,Wheat_cultivar,Dose_splitting,Fertilisation_level,Infection
1,1,potato,C,no,D,13.0
2,1,potato,W,no,A,1.5
3,1,potato,P,yes,D,2.3
4,1,potato,P,no,D,7.0
5,1,potato,C,yes,A,6.0
6,1,potato,C,no,A,11.0
7,2,potato,P,yes,A,7.5
8,2,potato,W,no,A,0.5
9,2,potato,C,no,D,8.3
10,2,potato,C,no,B,14.0
11,2,potato,P,no,D,16.0
12,2,potato,C,no,C,14.9
13,3,potato,P,no,D,15.8
14,3,potato,W,yes,C,7.0
15,3,potato,C,no,D,15.0
16,3,potato,P,no,C,10.5
17,3,potato,C,yes,B,15.0
18,3,potato,C,no,B,15.0
19,1,potato,W,yes,C,2.5
20,1,potato,C,no,C,13.5
21,1,potato,P,yes,B,7.5
22,1,potato,C,yes,D,5.5
23,1,potato,W,yes,B,2.0
24,1,potato,W,no,C,4.0
25,2,potato,P,no,B,10.0
26,2,potato,P,no,C,10.5
27,2,potato,C,yes,D,16.3
28,2,potato,C,yes,B,14.0
29,2,potato,P,yes,C,10.0
30,2,potato,W,no,D,5.3
31,3,potato,W,yes,D,2.3
32,3,potato,W,no,C,3.0
33,3,potato,W,no,A,4.5
34,3,potato,C,yes,A,16.9
35,3,potato,W,no,D,10.0
36,3,potato,W,yes,A,0.5
37,1,potato,W,no,D,0.8
38,1,potato,P,no,C,10.0
39,1,potato,W,yes,D,0.8
40,1,potato,P,no,A,5.0
41,1,potato,C,yes,B,9.0
42,1,potato,W,yes,A,1.0
43,2,potato,W,yes,B,1.0
44,2,potato,C,yes,C,12.0
45,2,potato,P,yes,B,12.0
46,2,potato,W,no,C,1.5
47,2,potato,W,yes,A,1.5
48,2,potato,W,no,B,1.0
49,3,potato,P,yes,C,9.0
50,3,potato,C,yes,D,18.0
51,3,potato,P,yes,D,9.8
52,3,potato,P,no,A,6.8
53,3,potato,C,no,C,18.0
54,3,potato,P,no,B,11.4
55,1,potato,P,no,B,8.1
56,1,potato,C,yes,C,12.4
57,1,potato,P,yes,C,8.3
58,1,potato,P,yes,A,7.5
59,1,potato,C,no,B,10.5
60,1,potato,W,no,B,4.0
61,2,potato,W,yes,C,1.5
62,2,potato,P,no,A,11.3
63,2,potato,W,yes,D,3.0
64,2,potato,C,no,A,8.8
65,2,potato,C,yes,A,7.5
66,2,potato,P,yes,D,6.9
67,3,potato,C,yes,C,10.5
68,3,potato,W,no,B,1.3
69,3,potato,P,yes,B,13.5
70,3,potato,C,no,A,6.8
71,3,potato,P,yes,A,7.5
72,3,potato,W,yes,B,1.8
73,1,maize,C,yes,A,8.8
74,1,maize,W,no,D,1.0
75,1,maize,P,no,B,5.6
76,1,maize,C,no,A,12.3
77,1,maize,P,yes,C,8.8
78,1,maize,C,no,C,6.3
79,2,maize,P,yes,B,9.4
80,2,maize,W,yes,C,0.8
81,2,maize,W,no,C,0.3
82,2,maize,P,yes,D,12.0
83,2,maize,C,no,B,12.3
84,2,maize,C,no,C,9.8
85,3,maize,P,no,B,11.3
86,3,maize,W,no,C,0.5
87,3,maize,C,yes,A,9.0
88,3,maize,P,yes,C,7.5
89,3,maize,C,yes,D,8.1
90,3,maize,P,no,C,9.4
91,1,maize,P,no,D,5.5
92,1,maize,W,no,B,2.0
93,1,maize,W,no,C,1.8
94,1,maize,P,no,C,6.5
95,1,maize,C,no,B,12.8
96,1,maize,P,yes,B,12.3
97,2,maize,W,yes,D,1.8
98,2,maize,P,no,A,13.1
99,2,maize,W,no,B,0.5
100,2,maize,C,yes,B,11.3
101,2,maize,W,yes,B,5.3
102,2,maize,W,no,D,1.8
103,3,maize,P,yes,A,7.5
104,3,maize,W,yes,C,1.8
105,3,maize,W,yes,D,0.3
106,3,maize,P,yes,B,13.5
107,3,maize,C,no,B,10.5
108,3,maize,C,no,C,17.0
109,1,maize,P,yes,D,14.9
110,1,maize,P,yes,A,0.8
111,1,maize,P,no,A,12.8
112,1,maize,W,yes,C,1.8
113,1,maize,W,yes,A,0.0
114,1,maize,W,no,A,0.5
115,2,maize,P,no,D,12.8
116,2,maize,P,no,C,12.8
117,2,maize,C,no,A,19.0
118,2,maize,P,yes,A,17.0
119,2,maize,W,no,A,0.3
120,2,maize,P,no,B,14.3
121,3,maize,P,no,A,12.0
122,3,maize,W,no,A,2.3
123,3,maize,P,no,D,12.8
124,3,maize,C,yes,B,10.5
125,3,maize,W,no,B,0.3
126,3,maize,W,yes,A,4.0
127,1,maize,C,yes,C,9.0
128,1,maize,C,no,D,13.5
129,1,maize,C,yes,D,14.3
130,1,maize,W,yes,B,0.3
131,1,maize,W,yes,D,0.3
132,1,maize,C,yes,B,20.3
133,2,maize,P,yes,C,21.4
134,2,maize,C,yes,A,22.5
135,2,maize,C,yes,C,19.0
136,2,maize,C,yes,D,22.5
137,2,maize,C,no,D,14.3
138,2,maize,W,yes,A,0.5
139,3,maize,C,no,D,12.8
140,3,maize,W,yes,B,1.0
141,3,maize,P,yes,D,11.3
142,3,maize,W,no,D,1.0
143,3,maize,C,no,A,22.5
144,3,maize,C,yes,C,25.0